dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
credit,GAT,GCN+FAME,Overall Accuracy Equality Difference,0.0206,0.0275,0.0132,0.0289,50
credit,GAT,GCN+FAME,Treatment Equality Difference,-1.2957,3.6355,-2.3708,-0.4319,50
credit,GAT,GCN+FAME+PFR,Accuracy,0.1986,0.2202,0.0786,0.3269,10
credit,GAT,GCN+FAME+PFR,Statistical Parity Difference,-0.0288,0.0518,-0.0642,-0.0040,10
credit,GAT,GCN+FAME+PFR,Equal Opportunity Difference,-0.0342,0.0581,-0.0716,-0.0056,10
credit,GAT,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0350,0.0407,0.0120,0.0588,10
credit,GAT,GCN+FAME+PFR,Treatment Equality Difference,-2.7635,5.6706,-6.4520,-0.4250,10
credit,GAT,GCN+PFR,Accuracy,0.1868,0.2189,0.0625,0.3216,10
credit,GAT,GCN+PFR,Statistical Parity Difference,-0.0232,0.0438,-0.0524,-0.0001,10
credit,GAT,GCN+PFR,Equal Opportunity Difference,-0.0310,0.0484,-0.0622,-0.0043,10
credit,GAT,GCN+PFR,Overall Accuracy Equality Difference,0.0237,0.0361,0.0039,0.0454,10
credit,GAT,GCN+PFR,Treatment Equality Difference,-2.7279,5.6822,-6.5829,-0.4132,10
credit,GAT,GIN,Accuracy,0.1569,0.2286,0.0928,0.2252,49
credit,GAT,GIN,Statistical Parity Difference,-0.0200,0.0393,-0.0321,-0.0102,49
credit,GAT,GIN,Equal Opportunity Difference,-0.0225,0.0448,-0.0351,-0.0109,49
